state,gender,education,customer_lifetime_value,income,monthly_premium_auto,policy_type,vehicle_class,total_claim_amount,open_compl
Arizona,Unknown,High School or Below,3958,0,101,Personal Auto,SUV,484,0
Oregon,Unknown,High School or Below,4499,16969,124,Personal Auto,SUV,704,2
Oregon,Unknown,Master,4059,11621,108,Personal Auto,Four-Door Car,518,0
Arizona,Unknown,Bachelor,4458,17622,65,Personal Auto,Four-Door Car,312,1
California,Unknown,Bachelor,8110,11489,105,Personal Auto,Two-Door Car,504,0
Oregon,Unknown,Bachelor,3339,0,94,Personal Auto,Two-Door Car,863,0
California,Unknown,High School or Below,24261,66525,100,Personal Auto,SUV,104,0
Arizona,Unknown,Bachelor,6613,0,63,Personal Auto,Four-Door Car,676,0
Oregon,Unknown,College,2930,33663,73,Personal Auto,Four-Door Car,350,0
Oregon,Unknown,College,8672,22547,112,Corporate Auto,SUV,537,0
Oregon,Unknown,High School or Below,11638,61486,97,Personal Auto,Two-Door Car,465,0
Oregon,Unknown,Bachelor,6846,0,95,Personal Auto,Two-Door Car,456,0
California,Unknown,College,11727,29879,102,Personal Auto,Four-Door Car,500,0
Oregon,Unknown,High School or Below,22643,93011,113,Personal Auto,SUV,281,0
Oregon,Unknown,Master,2614,65186,65,Personal Auto,Two-Door Car,5,0
Oregon,Unknown,Master,2451,26840,64,Personal Auto,Four-Door Car,307,2
Oregon,Unknown,Bachelor,6781,0,104,Personal Auto,Luxury,982,1
Oregon,Unknown,Bachelor,4974,75644,65,Personal Auto,Two-Door Car,467,3
Oregon,Unknown,Bachelor,8591,38984,73,Personal Auto,Four-Door Car,350,0
Oregon,Unknown,High School or Below,5592,71811,71,Personal Auto,Four-Door Car,29,0
Nevada,Unknown,College,8009,20961,67,Personal Auto,Four-Door Car,321,0
Washington,F,Master,7936,41275,96,Personal Auto,Four-Door Car,41,0
California,Unknown,Bachelor,58166,61321,186,Personal Auto,Luxury,427,1
California,Unknown,College,8025,0,77,Personal Auto,Two-Door Car,25,0
California,Unknown,High School or Below,5780,51066,74,Personal Auto,Four-Door Car,787,0
California,Unknown,Doctor,4118,34378,102,Personal Auto,SUV,489,0
Nevada,Unknown,Master,2523,43072,63,Personal Auto,Four-Door Car,302,0
Oregon,Unknown,College,6554,25222,90,Personal Auto,Four-Door Car,475,0
Washington,F,Bachelor,5382,77552,68,Corporate Auto,Four-Door Car,45,1
California,Unknown,College,5926,23091,96,Personal Auto,Four-Door Car,460,5
California,Unknown,Bachelor,2683,48269,69,Corporate Auto,Four-Door Car,282,3
Oregon,Unknown,Bachelor,2695,32720,67,Personal Auto,Four-Door Car,321,0
California,Unknown,College,6047,20396,76,Personal Auto,Four-Door Car,364,1
Oregon,Unknown,College,13171,21513,119,Personal Auto,Two-Door Car,679,1
Washington,F,College,15950,0,87,Personal Auto,Two-Door Car,46,1
Oregon,Unknown,Bachelor,2527,80744,63,Corporate Auto,Four-Door Car,11,0
Oregon,Unknown,Bachelor,2672,52822,67,Corporate Auto,Two-Door Car,350,0
California,Unknown,High School or Below,5313,0,77,Personal Auto,Four-Door Car,863,1
Oregon,Unknown,Bachelor,20946,69738,74,Personal Auto,Four-Door Car,492,1
Oregon,Unknown,Master,8375,17780,109,Personal Auto,SUV,132,0
California,Unknown,Bachelor,4801,18107,62,Personal Auto,Four-Door Car,297,0
Oregon,Unknown,Bachelor,5745,57740,74,Personal Auto,Four-Door Car,269,3
Oregon,Unknown,College,6066,32627,76,Personal Auto,Two-Door Car,380,0
California,Unknown,College,8002,0,107,Personal Auto,SUV,513,0
California,Unknown,College,2393,0,70,Personal Auto,Four-Door Car,425,0
Oregon,Unknown,Bachelor,4762,65795,62,Corporate Auto,Two-Door Car,49,1
California,Unknown,College,4330,60475,107,Personal Auto,Four-Door Car,513,0
California,Unknown,High School or Below,9402,0,130,Personal Auto,SUV,936,0
Oregon,Unknown,Bachelor,6966,41837,88,Personal Auto,Four-Door Car,142,0
California,Unknown,Bachelor,7694,32303,65,Personal Auto,Four-Door Car,45,0
Oregon,Unknown,High School or Below,8717,0,117,Personal Auto,SUV,561,1
California,Unknown,Bachelor,5928,40531,74,Personal Auto,Two-Door Car,30,0
Oregon,Unknown,College,2452,79898,62,Corporate Auto,Four-Door Car,271,1
California,Unknown,College,6701,56398,85,Personal Auto,Four-Door Car,408,0
Washington,M,High School or Below,4996,71600,63,Personal Auto,Two-Door Car,46,0
Oregon,Unknown,College,8492,27804,109,Personal Auto,SUV,784,0
Oregon,Unknown,Bachelor,7713,45506,66,Personal Auto,Four-Door Car,316,2
Washington,F,Master,5185,99428,6464,Personal Auto,Four-Door Car,48,1
California,Unknown,High School or Below,7290,0,102,Corporate Auto,SUV,489,1
Oregon,Unknown,High School or Below,4772,20993,133,Personal Auto,SUV,638,0
Oregon,Unknown,High School or Below,6806,37839,86,Personal Auto,Two-Door Car,465,0
California,Unknown,Bachelor,2469,92711,62,Personal Auto,Two-Door Car,368,0
California,Unknown,College,3103,74665,78,Corporate Auto,Four-Door Car,236,2
Washington,F,College,10484,61108,89,Personal Auto,Four-Door Car,49,0
California,Unknown,Bachelor,8902,46833,112,Personal Auto,Luxury,64,0
Oregon,Unknown,High School or Below,5499,88768,68,Personal Auto,Two-Door Car,326,0
California,Unknown,High School or Below,15023,28262,192,Personal Auto,Luxury,921,0
Nevada,Unknown,Bachelor,2509,33555,63,Personal Auto,Four-Door Car,101,0
Oregon,Unknown,College,31221,42780,113,Personal Auto,Four-Door Car,542,1
Oregon,Unknown,Master,3133,58850,78,Personal Auto,Four-Door Car,143,0
Oregon,Unknown,College,3837,21880,97,Special Auto,Four-Door Car,424,0
Oregon,Unknown,College,11790,25251,66,Personal Auto,Four-Door Car,316,0
Washington,F,High School or Below,2829,25317,71,Personal Auto,Two-Door Car,50,0
Oregon,Unknown,High School or Below,4305,24188,109,Personal Auto,Luxury,523,0
Nevada,Unknown,Bachelor,5973,41611,74,Special Auto,Four-Door Car,113,0
Oregon,Unknown,Bachelor,5670,28406,72,Personal Auto,Four-Door Car,192,1
Oregon,Unknown,College,4731,69833,118,Personal Auto,Four-Door Car,828,0
Oregon,Unknown,High School or Below,8026,0,74,Corporate Auto,Four-Door Car,532,0
Oregon,Unknown,High School or Below,4022,0,117,Personal Auto,SUV,975,0
Oregon,Unknown,High School or Below,9618,80536,119,Special Auto,Luxury,53,0
Washington,F,Bachelor,7255,88891,89,Personal Auto,Four-Door Car,50,0
Oregon,Unknown,College,9552,97732,79,Personal Auto,Four-Door Car,289,0
Oregon,F,Bachelor,10388,61222,89,Special Auto,Four-Door Car,392,0
Oregon,M,College,2470,0,74,Personal Auto,Two-Door Car,721,0
Oregon,M,Master,5619,50335,140,Personal Auto,SUV,456,0
California,F,High School or Below,9047,0,127,Personal Auto,Luxury,1087,0
Washington,F,Doctor,2687,82210,68,Personal Auto,Four-Door Car,51,4
Oregon,F,High School or Below,3731,0,96,Personal Auto,Four-Door Car,460,0
Nevada,M,Bachelor,3660,64495,92,Corporate Auto,Four-Door Car,251,0
California,F,College,7928,0,72,Corporate Auto,Four-Door Car,345,0
Arizona,F,Bachelor,5011,28859,67,Corporate Auto,Two-Door Car,321,3
Arizona,F,High School or Below,7988,77330,99,Personal Auto,Four-Door Car,99,0
Oregon,M,College,3885,0,105,Corporate Auto,Four-Door Car,504,0
Washington,F,High School or Below,9357,33060,117,Personal Auto,Four-Door Car,56,0
Washington,M,Master,2540,42557,65,Personal Auto,Four-Door Car,57,0
Arizona,M,High School or Below,4885,26372,126,Personal Auto,SUV,604,0
Arizona,F,Bachelor,9753,17514,127,Personal Auto,SUV,8,0
California,Unknown,Bachelor,2946,89270,74,Personal Auto,Four-Door Car,316,0
California,M,High School or Below,2581,29757,65,Personal Auto,Four-Door Car,312,0
Oregon,M,College,3517,51814,92,Personal Auto,Four-Door Car,56,0
Oregon,F,Bachelor,9743,24028,82,Personal Auto,Four-Door Car,393,0
Arizona,M,College,3873,28142,105,Personal Auto,Luxury,701,0
Arizona,F,Bachelor,7649,52705,64,Personal Auto,Two-Door Car,128,1
California,M,High School or Below,2287,0,63,Corporate Auto,Two-Door Car,679,0
Washington,F,High School or Below,8255,54040,103,Personal Auto,SUV,59,0
California,F,College,8714,0,118,Personal Auto,SUV,566,0
Washington,F,Doctor,6819,22492,85,Personal Auto,Two-Door Car,61,0
California,M,Bachelor,7416,0,77,Personal Auto,Four-Door Car,554,2
Oregon,M,Master,7771,21876,68,Personal Auto,Four-Door Car,465,0
California,F,Bachelor,6968,0,69,Personal Auto,Four-Door Car,496,1
California,F,High School or Below,4250,0,61,Personal Auto,Four-Door Car,292,1
Oregon,F,High School or Below,19776,70699,82,Personal Auto,Four-Door Car,256,0
California,F,High School or Below,21343,0,74,Personal Auto,Four-Door Car,355,1
California,M,College,2413,27501,63,Personal Auto,Four-Door Car,542,0
Oregon,F,Doctor,15363,15897,101,Personal Auto,Four-Door Car,303,0
Nevada,F,College,8456,25141,73,Personal Auto,Four-Door Car,25,1
Nevada,F,College,2189,0,61,Personal Auto,Four-Door Car,292,3
California,M,High School or Below,5780,51066,74,Personal Auto,Four-Door Car,787,0
California,F,Bachelor,4639,28358,117,Personal Auto,Luxury,84,0
Washington,F,Doctor,3824,62530,95,Personal Auto,Four-Door Car,61,0
Arizona,F,Bachelor,5968,90972,74,Personal Auto,Two-Door Car,232,0
Washington,F,Bachelor,8590,63110,72,Personal Auto,Four-Door Car,68,0
California,F,Bachelor,4076,29549,104,Personal Auto,Luxury,710,0
California,F,Bachelor,12252,0,115,Personal Auto,Four-Door Car,552,1
Nevada,F,Bachelor,16936,39411,217,Personal Auto,Luxury,1122,2
Oregon,M,High School or Below,4892,21709,62,Personal Auto,Four-Door Car,408,0
Nevada,M,Bachelor,9942,67890,85,Personal Auto,Four-Door Car,408,0
California,M,Bachelor,3735,0,110,Personal Auto,SUV,792,0
California,F,High School or Below,13117,84311,111,Personal Auto,SUV,532,4
California,F,College,4574,99316,114,Corporate Auto,SUV,754,0
Arizona,F,Bachelor,5470,54507,138,Personal Auto,SUV,702,0
California,F,Bachelor,2978,64586,76,Personal Auto,Four-Door Car,206,0
Oregon,M,College,6410,61709,82,Personal Auto,Four-Door Car,275,2
California,M,Master,4479,94656,111,Special Auto,SUV,459,1
California,F,High School or Below,2383,0,69,Special Auto,Two-Door Car,496,0
California,M,Bachelor,2764,61085,70,Personal Auto,Two-Door Car,336,1
Oregon,F,Bachelor,7920,89284,67,Personal Auto,Two-Door Car,321,3
Arizona,F,High School or Below,6889,0,63,Personal Auto,Four-Door Car,302,0
Oregon,F,Bachelor,3274,31686,81,Personal Auto,Four-Door Car,430,0
Oregon,M,High School or Below,9951,56855,255,Corporate Auto,Luxury,1836,0
Oregon,M,Bachelor,2521,53703,67,Special Auto,Four-Door Car,67,2
Oregon,F,High School or Below,23706,0,96,Personal Auto,Two-Door Car,844,1
California,M,College,6047,20396,76,Personal Auto,Four-Door Car,364,1
California,F,Master,11140,27679,150,Personal Auto,SUV,722,0
Nevada,F,Bachelor,4334,23904,123,Personal Auto,SUV,590,3
Arizona,F,High School or Below,2799,65351,69,Corporate Auto,Four-Door Car,481,0
California,M,College,7923,0,113,Personal Auto,SUV,1124,0
California,M,High School or Below,3688,0,63,Personal Auto,Four-Door Car,669,3
California,M,College,12067,0,116,Personal Auto,SUV,1284,0
California,F,College,2924,64459,72,Personal Auto,Four-Door Car,240,0
California,M,College,15014,32961,190,Corporate Auto,SUV,912,0
Oregon,F,High School or Below,9277,71416,116,Corporate Auto,SUV,556,0
Oregon,F,Bachelor,6274,68964,78,Personal Auto,Four-Door Car,115,0
Oregon,M,High School or Below,3886,78108,98,Personal Auto,Two-Door Car,470,0
Oregon,M,College,4386,10621,67,Special Auto,Four-Door Car,321,0
Oregon,M,College,11365,84910,95,Corporate Auto,Two-Door Car,383,0
Oregon,Unknown,High School or Below,5610,77493,70,Special Auto,Four-Door Car,307,0
Arizona,M,College,2912,81097,74,Personal Auto,Four-Door Car,355,0
Oregon,Unknown,College,6915,96610,85,Corporate Auto,Four-Door Car,520,0
Oregon,M,College,6262,30110,159,Corporate Auto,Luxury,466,0
Oregon,Unknown,High School or Below,6503,22081,84,Special Auto,Two-Door Car,451,0
Oregon,Unknown,High School or Below,8007,0,112,Personal Auto,Luxury,537,0
Oregon,M,College,2929,98473,72,Personal Auto,Four-Door Car,345,0
Oregon,Unknown,Bachelor,5969,97431,74,Personal Auto,Four-Door Car,355,0
Oregon,M,Bachelor,5473,93870,69,Personal Auto,Four-Door Car,331,0
Nevada,M,High School or Below,5645,50366,72,Personal Auto,Four-Door Car,428,0
Oregon,M,High School or Below,6369,34498,83,Personal Auto,Two-Door Car,398,0
Oregon,Unknown,College,11833,16552,103,Personal Auto,SUV,494,0
Oregon,Unknown,College,6121,26787,77,Personal Auto,Four-Door Car,369,0
Nevada,M,College,5159,0,74,Personal Auto,Two-Door Car,831,0
Nevada,Unknown,High School or Below,2514,43860,65,Corporate Auto,Four-Door Car,156,0
Arizona,M,High School or Below,8668,21474,114,Corporate Auto,SUV,373,2
Oregon,M,Bachelor,4960,18174,66,Corporate Auto,Four-Door Car,395,0
Arizona,Unknown,Bachelor,5504,0,73,Corporate Auto,Four-Door Car,350,0
Arizona,M,College,7507,60920,64,Personal Auto,Two-Door Car,231,0
Arizona,M,High School or Below,32269,41520,90,Personal Auto,Four-Door Car,289,0
Oregon,Unknown,Bachelor,5657,0,152,Personal Auto,SUV,729,0
Arizona,M,High School or Below,5061,0,68,Personal Auto,Two-Door Car,326,0
Oregon,M,Bachelor,5912,72208,73,Personal Auto,Two-Door Car,350,0
Oregon,Unknown,Bachelor,15182,53863,63,Personal Auto,Four-Door Car,105,0
Oregon,M,College,10747,66446,136,Corporate Auto,SUV,639,0
Oregon,M,College,2050,0,61,Personal Auto,Four-Door Car,292,0
Oregon,Unknown,Bachelor,2465,64997,63,Personal Auto,Four-Door Car,383,1
Nevada,Unknown,High School or Below,5343,64460,66,Corporate Auto,Two-Door Car,316,0
Arizona,Unknown,College,8119,46618,67,Personal Auto,Four-Door Car,99,0
Oregon,Unknown,College,4605,0,64,Corporate Auto,Four-Door Car,307,0
Oregon,M,College,6408,49988,84,Personal Auto,Two-Door Car,566,5
Oregon,Unknown,College,2376,0,91,Personal Auto,Two-Door Car,436,5
Oregon,M,Bachelor,3211,16269,86,Corporate Auto,Two-Door Car,412,0
Arizona,F,Bachelor,5094,72006,64,Personal Auto,Four-Door Car,307,0
Arizona,F,High School or Below,25755,0,81,Personal Auto,Four-Door Car,388,2
Oregon,M,Bachelor,8672,0,245,Corporate Auto,Luxury,2345,0
Oregon,M,Master,8044,44320,67,Personal Auto,Four-Door Car,321,0
Arizona,F,High School or Below,4001,19782,108,Personal Auto,Two-Door Car,773,0
Nevada,F,Bachelor,16706,63933,70,Personal Auto,Two-Door Car,424,0
Arizona,M,Doctor,8544,28224,109,Personal Auto,SUV,523,0
Oregon,F,College,7805,21073,106,Personal Auto,SUV,508,1
Oregon,M,Bachelor,6112,63243,77,Personal Auto,Four-Door Car,364,0
Nevada,M,High School or Below,4772,20993,133,Personal Auto,SUV,638,0
Oregon,F,Bachelor,10979,94827,135,Personal Auto,SUV,354,0
Oregon,F,Master,5004,39161,63,Personal Auto,Two-Door Car,283,1
Oregon,M,Bachelor,13223,37534,84,Personal Auto,Four-Door Car,403,2
Oregon,F,Bachelor,2623,80210,65,Corporate Auto,Four-Door Car,20,0
Oregon,M,Bachelor,17840,0,62,Personal Auto,Four-Door Car,385,0
Oregon,F,College,5106,30110,64,Personal Auto,Four-Door Car,140,0
Arizona,F,College,17930,21708,68,Personal Auto,Four-Door Car,326,0
Arizona,M,High School or Below,5457,94731,67,Personal Auto,Four-Door Car,321,0
Oregon,M,Bachelor,6563,32375,83,Personal Auto,Four-Door Car,398,0
Oregon,M,College,4812,16531,63,Corporate Auto,Four-Door Car,102,0
Arizona,F,Master,29328,32006,94,Corporate Auto,Four-Door Car,56,0
Arizona,F,Bachelor,5773,81676,72,Personal Auto,Two-Door Car,463,0
Oregon,M,College,6847,71038,86,Corporate Auto,Four-Door Car,205,0
Arizona,F,High School or Below,3595,0,103,Corporate Auto,Luxury,741,0
Nevada,F,Master,22855,20832,65,Personal Auto,Two-Door Car,56,0
Oregon,M,High School or Below,7859,0,113,Personal Auto,SUV,813,0
Oregon,M,High School or Below,4115,52405,103,Personal Auto,Four-Door Car,494,0
Arizona,F,High School or Below,5029,0,133,Personal Auto,Luxury,795,0
Oregon,F,Bachelor,4821,26583,1005,Personal Auto,SUV,614,4
Oregon,M,Master,5004,25486,65,Special Auto,Two-Door Car,72,0
Arizona,M,College,8630,24065,111,Corporate Auto,Four-Door Car,532,0
Arizona,F,High School or Below,9322,70435,116,Personal Auto,Four-Door Car,67,0
Oregon,M,College,16727,0,76,Personal Auto,Two-Door Car,402,2
Oregon,F,High School or Below,3652,39679,92,Personal Auto,Two-Door Car,641,0
Nevada,M,College,6158,0,89,Personal Auto,Four-Door Car,342,0
Oregon,M,Bachelor,4376,0,69,Personal Auto,Two-Door Car,331,4
Nevada,M,High School or Below,5569,53565,71,Personal Auto,Four-Door Car,340,1
Oregon,M,Bachelor,2576,37574,66,Personal Auto,Two-Door Car,412,1
Oregon,M,Bachelor,8346,48259,108,Personal Auto,Two-Door Car,73,0
Arizona,F,High School or Below,6323,78532,78,Personal Auto,Four-Door Car,374,0
Arizona,F,Bachelor,5973,96163,73,Corporate Auto,Four-Door Car,350,0
Oregon,M,Bachelor,4706,0,72,Personal Auto,Four-Door Car,345,0
Oregon,M,High School or Below,8093,0,114,Personal Auto,Luxury,722,1
Oregon,M,College,5035,72672,63,Personal Auto,Four-Door Car,259,0
Oregon,F,Bachelor,9027,99002,112,Personal Auto,Four-Door Car,537,1
California,M,High School or Below,7288,79494,91,Personal Auto,Four-Door Car,396,0
Oregon,M,Master,18042,35704,225,Personal Auto,Luxury,358,0
Arizona,F,Bachelor,4992,0,71,Corporate Auto,Four-Door Car,653,0
Oregon,F,High School or Below,9102,26049,118,Personal Auto,Two-Door Car,121,0
Arizona,M,Doctor,2540,70125,64,Special Auto,Four-Door Car,92,0
California,M,College,12941,52369,110,Personal Auto,SUV,528,1
Oregon,F,Bachelor,2365,0,66,Special Auto,Four-Door Car,159,2
Arizona,M,College,5720,41770,72,Personal Auto,Four-Door Car,476,0
Oregon,M,High School or Below,7035,0,101,Corporate Auto,Four-Door Car,727,0
California,M,College,2636,31911,67,Personal Auto,Four-Door Car,321,0
Nevada,M,Bachelor,5395,70051,68,Corporate Auto,Four-Door Car,42,0
Oregon,M,High School or Below,8382,19683,117,Personal Auto,Luxury,561,1
Oregon,F,College,31161,30916,112,Personal Auto,SUV,200,0
Oregon,F,Bachelor,2887,0,80,Personal Auto,Four-Door Car,676,0
Washington,M,College,7425,84302,62,Personal Auto,Four-Door Car,76,0
California,M,Bachelor,25585,0,116,Corporate Auto,SUV,830,0
Oregon,M,College,10272,60145,132,Personal Auto,SUV,580,0
Oregon,F,Bachelor,4376,63774,111,Personal Auto,Four-Door Car,60,0
California,F,Bachelor,5318,25134,67,Corporate Auto,Four-Door Car,321,0
Oregon,M,Bachelor,4719,37057,61,Personal Auto,Four-Door Car,47,1
Oregon,F,High School or Below,4428,58577,110,Personal Auto,SUV,303,0
California,M,High School or Below,5879,85857,73,Corporate Auto,Four-Door Car,100,0
Oregon,F,Doctor,9416,70602,116,Personal Auto,SUV,481,0
Oregon,F,Master,8288,33816,106,Corporate Auto,Four-Door Car,508,2
Oregon,M,Bachelor,32654,0,153,Personal Auto,SUV,1101,0
Oregon,F,College,4719,89642,121,Corporate Auto,SUV,86,4
California,F,Bachelor,3903,60068,98,Personal Auto,Two-Door Car,470,0
California,F,Bachelor,5457,50044,139,Personal Auto,SUV,667,0
California,F,Master,2725,36650,69,Personal Auto,Four-Door Car,56,1
Arizona,F,College,4433,50653,110,Corporate Auto,SUV,262,0
Arizona,F,Doctor,5332,68931,66,Personal Auto,Four-Door Car,309,0
Oregon,M,Bachelor,2315,0,73,Corporate Auto,Four-Door Car,350,1
California,F,College,5411,0,73,Personal Auto,Four-Door Car,365,0
California,M,Bachelor,9587,39266,80,Personal Auto,Four-Door Car,384,0
California,M,College,22103,0,102,Personal Auto,SUV,489,0
Nevada,F,High School or Below,9764,0,98,Personal Auto,Four-Door Car,705,1
Nevada,F,Bachelor,2567,40864,65,Corporate Auto,Four-Door Car,9,0
Oregon,F,College,2650,39035,68,Personal Auto,Four-Door Car,244,0
California,M,Bachelor,11264,34923,98,Personal Auto,Two-Door Car,639,0
California,M,High School or Below,2168,0,63,Personal Auto,Four-Door Car,453,0
California,F,High School or Below,8610,0,111,Corporate Auto,SUV,532,0
California,F,College,2834,24506,71,Personal Auto,Two-Door Car,511,0
Oregon,M,High School or Below,8930,0,82,Personal Auto,Four-Door Car,554,0
Arizona,F,College,5536,52220,70,Personal Auto,Four-Door Car,336,1
Arizona,M,High School or Below,2840,0,74,Personal Auto,Two-Door Car,402,0
California,M,College,8082,53554,67,Personal Auto,Four-Door Car,327,0
California,M,Bachelor,5254,34476,67,Corporate Auto,Four-Door Car,5,1
Arizona,F,Bachelor,5116,0,70,Personal Auto,Four-Door Car,131,0
California,M,College,3034,68205,76,Personal Auto,Two-Door Car,99,0
California,F,High School or Below,8024,0,119,Personal Auto,SUV,856,1
California,M,High School or Below,18211,53690,154,Personal Auto,SUV,739,0
Oregon,M,High School or Below,5121,0,72,Personal Auto,Four-Door Car,518,0
California,F,High School or Below,2150,0,61,Personal Auto,Four-Door Car,292,0
California,F,High School or Below,5595,74454,71,Personal Auto,Four-Door Car,340,0
Nevada,F,Bachelor,7562,0,73,Personal Auto,Four-Door Car,350,0
Oregon,M,High School or Below,5385,29664,71,Personal Auto,Four-Door Car,340,0
Washington,F,Doctor,2678,72450,66,Corporate Auto,Four-Door Car,84,0
Nevada,F,Bachelor,9422,47272,79,Personal Auto,Four-Door Car,64,3
Oregon,F,College,3605,21585,92,Corporate Auto,Four-Door Car,441,0
California,F,College,7762,23827,106,Personal Auto,Four-Door Car,37,2
Arizona,F,College,23444,69906,74,Corporate Auto,Four-Door Car,202,2
California,F,High School or Below,2558,0,72,Corporate Auto,Four-Door Car,345,0
Washington,M,Master,2654,73196,66,Personal Auto,Four-Door Car,85,1
Washington,M,Bachelor,2549,72217,6464,Personal Auto,Four-Door Car,91,0
California,M,High School or Below,2969,46131,74,Personal Auto,Two-Door Car,355,0
Oregon,F,Master,4363,54514,109,Personal Auto,SUV,286,3
California,F,High School or Below,5884,0,161,Personal Auto,SUV,1159,0
Nevada,F,College,5272,96668,66,Personal Auto,Four-Door Car,316,0
California,M,Doctor,5509,78879,69,Personal Auto,Four-Door Car,466,1
Nevada,M,College,16313,0,69,Personal Auto,Four-Door Car,331,0
Arizona,F,Bachelor,5678,0,76,Personal Auto,Four-Door Car,364,0
California,F,Bachelor,12101,0,112,Personal Auto,Luxury,1252,0
Oregon,M,Bachelor,2453,29735,69,Personal Auto,Four-Door Car,331,0
California,M,High School or Below,5075,23082,65,Special Auto,Four-Door Car,312,0
Arizona,M,Bachelor,3214,53984,80,Corporate Auto,Four-Door Car,421,0
